rank,name,team,position,adp,adp_rank,adp_rank_overall,edge,adp_espn,adp_ffc_equiv_espn,adp_price_used,tier,n_seasons,n_games,mu_hat,n_eff,pi_market,tau2,sigma2_tier,V,B,theta_star,age_2026,mu_star_z,mu_star,theta_star_mu_star,theta_used,proj,w_market,w_history,w_projection,post_var,arm,value_prior,view_shift_player,value_post_views,struct_shift,value_ranked,post_SD_bl,replacement,vorp,sched,avail,floor_p25,bust_sched,usable,floor_ref,floor_ref_positional,floor_ref_source,floor_gap,final,thin_data_flag,from_v01_judkins,from_v03_jt,from_v04_cmc,from_v05_lamb,from_v06_pickens,from_v07_jsn,from_v08_arsb,from_v09_barkley,from_v10_rice,from_v12_skattebo,from_v13_javonte,from_v17_djmoore,from_v18_egbuka,from_v20_gibbs,from_v23_pierce,from_v15_achane,from_v24_love,from_v25_montgomery,from_v26_sutton,from_v28_tmac,from_v19_odunze,from_v27_burden,from_v29_johnston,from_v30_hampton,from_v32_cook,from_v14_devonta,from_v21_walker,from_v33_nacua,from_v34_jeanty,from_v35_etienne,from_v36_metcalf,from_v37_mcconkey,from_v16_evans,from_v31_london,from_v22_jacobs,from_v38_hall,from_v39_nabers,from_s01_delta_rb,k,exp_pick,price,slot,BOARD
1,Jahmyr Gibbs,DET,RB,1.6,1,1,0,1.61,1.6,1.6,vet,3,49.0,20.73764705882353,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.94754921252784,24.451745379876797,0.0140142493654961,17.80777642423258,18.74987011497473,18.74987011497473,,,,,6.94476122963473,theta_star,18.74987011497473,1.320103908020215,20.06997402299494,1.4,21.46997402299494,0.8333523402279932,7.4745791409013185,13.99539488209362,54.0,0.907,9.35,0.1851851851851851,True,6.1125,6.1125,top70,3.2375,14.31914488209362,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320103908020218,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,jahmyr gibbs,1.0,1.61,1.0,1
2,Bijan Robinson,ATL,RB,2.0,2,2,0,2.61,2.0,2.0,vet,3,50.0,20.4031512605042,2.3333333333333335,19.40125646412411,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,19.810813268921123,24.58590006844627,0.0091508188820479,17.5152363819632,18.630284939545213,18.630284939545213,,,,,6.94476122963473,theta_star,18.630284939545213,0.0,18.630284939545213,1.4,20.03028493954521,1.8634324819583257,7.4745791409013185,12.555705798643892,54.0,0.944,11.025,0.1481481481481481,True,6.1125,6.1125,top70,4.9125000000000005,13.046955798643893,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,bijan robinson,2.0,2.61,2.0,2
3,Amon-Ra St. Brown,DET,WR,7.0,4,7,4,8.33,7.245688373094718,7.245688373094718,vet,5,79.0,19.551040480708412,2.8181818181818183,18.328297591797643,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,18.833622354878884,26.855578370978783,-0.0397189194934631,17.118638732813867,17.828380085125712,17.828380085125712,,,,,6.326338155306967,theta_star,17.828380085125712,0.7258099574371464,18.55419004256286,0.0,18.55419004256286,1.2576106467530963,7.920755406757527,10.633434635805331,54.0,0.926,12.45,0.1481481481481481,True,4.65,4.6875,top70,7.800000000000001,11.41343463580533,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.7258099574371446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,amon-ra st brown,7.0,8.33,3.0,3
4,Christian McCaffrey,SF,RB,5.3,3,5,1,6.65,5.591958512006325,5.591958512006325,vet,9,112.0,21.040844255510425,2.9883040935672516,18.801468895250412,11.74653700580229,39.64076972639763,13.265306503354196,0.5303610067165963,19.853166885026585,30.234086242299796,-0.0999879253590903,16.08751548843996,17.52689054945789,17.52689054945789,,,,,6.229905191831054,theta_star,17.52689054945789,0.4546218901084202,17.98151243956631,1.4,19.381512439566308,1.578594969183806,7.4745791409013185,11.906933298664988,54.0,0.685,0.0,0.3333333333333333,True,6.1125,6.1125,top70,-6.1125,11.295683298664988,,0.0,0.0,0.4546218901084223,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,christian mccaffrey,5.0,6.65,4.0,4
5,Ja'Marr Chase,CIN,WR,3.9,2,4,-1,4.71,3.899999999999999,3.899999999999999,vet,5,78.0,20.23370018975332,2.8181818181818183,19.556530987394957,10.782394134943546,43.140579588937385,15.307947596074555,0.5867285202276731,19.836385705709844,26.50239561943874,-0.0304101518716841,17.716656791624978,18.79616345591418,18.79616345591418,,,,,6.326338155306967,theta_star,18.79616345591418,0.0,18.79616345591418,0.0,18.79616345591418,1.778530032823029,7.920755406757527,10.875408049156652,54.0,0.907,8.3,0.2222222222222222,True,4.65,4.6875,top70,3.65,11.240408049156652,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,jamarr chase,3.0,4.71,5.0,5
6,Puka Nacua,LAR,WR,2.9,1,3,-3,3.79,2.9,2.9,vet,3,44.0,21.26749427043545,2.3333333333333335,19.556530987394957,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,20.186784330974845,25.259411362080765,0.0240767582252124,19.056164570481116,19.372215163437225,19.372215163437225,,,,,6.810573101316178,theta_star,19.372215163437225,-0.6911075817186152,18.68110758171861,0.0,18.68110758171861,1.3048537371403144,7.920755406757527,10.760352174961085,54.0,0.815,6.625,0.2962962962962963,True,4.65,4.6875,top70,1.9749999999999996,10.957852174961085,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6911075817186134,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,puka nacua,4.0,3.79,6.0,6
7,Jonathan Taylor,IND,RB,7.5,4,8,1,8.08,7.245688373094718,7.245688373094718,vet,6,83.0,19.129223244853495,2.9076923076923076,16.783941579810566,11.74653700580229,39.64076972639763,13.633068953522995,0.5371662970407058,17.869416977324924,27.616700889801507,-0.0835881102679132,15.156683933469862,16.030791897685873,16.030791897685873,,,,,6.309843786458436,theta_star,16.030791897685873,0.7746040511570627,16.805395948842936,1.4,18.205395948842938,1.255970121704577,7.4745791409013185,10.730816807941617,54.0,0.759,3.725,0.3333333333333333,True,6.1125,6.1125,top70,-2.3874999999999997,10.492066807941615,,0.0,0.7746040511570627,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,jonathan taylor,8.0,8.08,7.0,7
8,De'Von Achane,MIA,RB,9.4,5,9,1,12.32,11.220683505587504,11.220683505587504,vet,3,44.0,19.045530939648582,2.3333333333333335,16.783941579810566,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,17.708439157125845,24.88432580424367,-0.0011586368843108,16.486014400999977,16.662154238607965,16.662154238607965,,,,,6.94476122963473,theta_star,16.662154238607965,-0.3310771193039841,16.33107711930398,1.4,17.73107711930398,1.3176457442760108,7.4745791409013185,10.25649797840266,54.0,0.815,4.5249999999999995,0.2962962962962963,True,6.1125,6.1125,top70,-1.5875000000000004,10.09774797840266,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3310771193039823,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,devon achane,13.0,12.32,8.0,8
9,James Cook III,BUF,RB,15.1,8,16,7,12.97,14.332959804660137,14.332959804660137,vet,4,64.0,16.26278711484594,2.6470588235294117,15.768437837349294,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,15.985745874131588,26.934976043805612,-0.0649963027480501,13.660327794935576,14.841746375478849,14.841746375478849,,,,,6.582947187996207,theta_star,14.841746375478849,1.0291268122605768,15.870873187739424,1.4,17.270873187739426,1.2828627350574386,7.4745791409013185,9.796294046838106,54.0,0.926,8.225,0.2407407407407407,True,6.1125,6.1125,top70,2.1125,10.007544046838106,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.029126812260575,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,james cook,9.0,12.97,9.0,9
10,Jaxon Smith-Njigba,SEA,WR,5.9,3,6,-4,5.83,5.591958512006325,5.591958512006325,vet,3,51.0,17.608403361344536,2.3333333333333335,18.388907594210217,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,18.101399728133927,24.54483230663929,0.0501113962286879,16.666439336084554,17.75441625844949,17.75441625844949,,,,,6.810573101316178,theta_star,17.75441625844949,-0.082208129224746,17.672208129224742,0.0,17.672208129224742,1.3048537371403144,7.920755406757527,9.751452722467215,54.0,0.944,6.6,0.2962962962962963,True,4.65,4.6875,top70,1.9499999999999993,9.946452722467216,,0.0,0.0,0.0,-0.0,0.0,-0.0822081292247443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,jaxon smith-njigba,6.0,5.83,10.0,10
